name,red,green,blue,alpha,id
acoustic panel,0,102,51,255,0
advertisement,0,255,0,255,1
air conditioner,4,74,246,255,2
air conditioning,191,191,181,255,3
air duct,72,90,13,255,4
air freshener,204,0,102,255,5
air heater,196,26,252,255,6
air hockey,254,217,251,255,7
air purifier,127,255,255,255,8
air refresher,133,87,54,255,9
air vent,130,26,50,255,10
air vent fan,10,5,65,255,11
air vent installation,3,75,135,255,12
aisle frame,18,124,89,255,13
alarm,21,182,126,255,14
alarm clock,90,171,130,255,15
alarm control,189,217,119,255,16
alarm controller,188,63,11,255,17
album,86,82,249,255,18
albums,196,221,253,255,19
alcohol bottles,187,78,62,255,20
amplifier,188,49,167,255,21
antique clock,182,161,248,255,22
antique telephone,112,201,196,255,23
antlers,11,41,99,255,24
apple,211,102,1,255,25
appliance,4,227,101,255,26
apron,147,201,250,255,27
aquarium,255,0,0,255,28
arcade,224,33,3,255,29
arcade game,254,74,17,255,30
arch,255,127,0,255,31
archway,176,188,66,255,32
armchair,247,29,54,255,33
art frame,74,117,80,255,34
art piece,71,56,199,255,35
art/clutter,250,107,216,255,36
art/statue,4,204,229,255,37
artwork,25,208,53,255,38
artwork frame,52,249,65,255,39
ashtray,70,220,121,255,40
attic door,68,86,156,255,41
attic entrance,7,150,36,255,42
attic hatch,255,127,127,255,43
audio cable,64,46,6,255,44
audio cables,139,167,123,255,45
audio player,18,165,78,255,46
axe,157,166,28,255,47
baby chair,9,163,248,255,48
baby changing station,191,67,218,255,49
baby changing table,135,243,61,255,50
baby seat,81,119,190,255,51
backpack,0,126,204,255,52
backrest,228,73,252,255,53
backsplash,227,108,163,255,54
bag,127,255,127,255,55
bag with sheets,50,211,203,255,56
bag with something,3,190,177,255,57
bags,127,255,0,255,58
balcony,11,59,10,255,59
balcony railing,108,38,143,255,60
ball,243,33,254,255,61
ball chair,182,106,251,255,62
ball pool,120,251,191,255,63
ball pouffe,145,115,208,255,64
balustrade,48,129,250,255,65
banister,43,78,65,255,66
banner,73,0,197,255,67
bar,0,249,143,255,68
bar cabinet,80,160,69,255,69
bar chair,200,252,62,255,70
bar soap,127,39,198,255,71
barbecue,139,79,186,255,72
barbell,155,225,169,255,73
barrel,239,148,63,255,74
base,30,183,5,255,75
baseball bat,137,90,3,255,76
baseball cap,49,35,155,255,77
baseboard,242,186,113,255,78
basin,127,0,0,255,79
basin faucet,191,148,1,255,80
basket,134,147,65,255,81
basket of fruits,175,254,104,255,82
basket of something,84,183,23,255,83
basket of towels,12,87,183,255,84
basket with books,1,20,178,255,85
basketballs,185,224,0,255,86
baskets,255,255,127,255,87
bath,44,252,176,255,88
bath bar,62,186,252,255,89
bath cabinet,3,253,46,255,90
bath carpet,41,208,156,255,91
bath curtain,138,94,126,255,92
bath curtain bar,32,31,231,255,93
bath dial,192,120,193,255,94
bath door frame,231,66,87,255,95
bath faucet,105,0,153,255,96
bath floor,251,216,190,255,97
bath grab bar,228,45,198,255,98
bath mat,0,0,255,255,99
bath shelf,67,234,247,255,100
bath side table,156,4,152,255,101
bath sink,253,219,57,255,102
bath tap,183,148,126,255,103
bath towel,246,154,179,255,104
bath towels,127,127,255,255,105
bath tub,0,255,255,255,106
bath utensil,225,189,224,255,107
bath wall,47,253,125,255,108
bathmat,47,0,127,255,109
bathrobe,92,207,58,255,110
bathroom accessory,173,253,235,255,111
bathroom art,251,78,170,255,112
bathroom cabinet,164,41,91,255,113
bathroom cabinet door,0,127,0,255,114
bathroom cabinet drawer,65,43,54,255,115
bathroom counter,196,100,129,255,116
bathroom floor,143,157,184,255,117
bathroom glass,234,190,2,255,118
bathroom mat,0,234,191,255,119
bathroom rug,191,254,179,255,120
bathroom shelf,149,1,215,255,121
bathroom stuff,67,231,11,255,122
bathroom towel,131,195,0,255,123
bathroom utensil,188,121,62,255,124
bathroom wall,70,143,13,255,125
bathroom window,106,168,230,255,126
bathtub,231,106,88,255,127
bathtub knob,255,255,0,255,128
bathtub platform,121,54,15,255,129
bathtub tap,127,255,0,255,130
