name,red,green,blue,alpha,id
ceiling,0,102,51,255,0
ceiling lamp,0,255,0,255,1
ceiling molding,4,74,246,255,2
picture,191,191,181,255,3
table lamp,72,90,13,255,4
decorative plant,204,0,102,255,5
heater,196,26,252,255,6
wall,254,217,251,255,7
decoration,127,255,255,255,8
fireplace,133,87,54,255,9
door frame,130,26,50,255,10
door,10,5,65,255,11
window curtain,3,75,135,255,12
floor,18,124,89,255,13
rug,21,182,126,255,14
cabinet,90,171,130,255,15
coffee table,189,217,119,255,16
vase,188,63,11,255,17
shelf,86,82,249,255,18
tv,196,221,253,255,19
tv stand,187,78,62,255,20
pillow,188,49,167,255,21
l-shaped sofa,182,161,248,255,22
dinner table,112,201,196,255,23
dinner chair,11,41,99,255,24
mirror,211,102,1,255,25
fuse box,4,227,101,255,26
coat rack,147,201,250,255,27
telephone,255,0,0,255,28
display table,224,33,3,255,29
bath utensil,254,74,17,255,30
vent,255,127,0,255,31
bathtub utensil,176,188,66,255,32
faucet,247,29,54,255,33
bathtub,74,117,80,255,34
sink,71,56,199,255,35
bathroom cabinet,250,107,216,255,36
bathroom utensil,4,204,229,255,37
countertop,25,208,53,255,38
paper towel,52,249,65,255,39
toilet brush,70,220,121,255,40
trash can,68,86,156,255,41
toilet,7,150,36,255,42
bidet,255,127,127,255,43
cosmetic,64,46,6,255,44
flower vase,139,167,123,255,45
wall clock,18,165,78,255,46
refrigerator,157,166,28,255,47
fire extinguisher,9,163,248,255,48
kitchen countertop item,191,67,218,255,49
kitchen utensil,135,243,61,255,50
kitchen extractor,81,119,190,255,51
paper towel dispenser,0,126,204,255,52
microwave,228,73,252,255,53
oven,227,108,163,255,54
kitchen cabinet,127,255,127,255,55
kitchen lower cabinet,50,211,203,255,56
kitchen top,3,190,177,255,57
dining table,127,255,0,255,58
dining chair,11,59,10,255,59
handle,108,38,143,255,60
washing machine,243,33,254,255,61
wardrobe,182,106,251,255,62
board,120,251,191,255,63
door window,145,115,208,255,64
chest of drawers,48,129,250,255,65
cuddly toy,43,78,65,255,66
chair,73,0,197,255,67
bed,0,249,143,255,68
bouquet,80,160,69,255,69
bag,200,252,62,255,70
table cloth,127,39,198,255,71
bedside lamp,139,79,186,255,72
nightstand,155,225,169,255,73
table,239,148,63,255,74
toilet paper dispenser,30,183,5,255,75
laundry basket,137,90,3,255,76
window glass,49,35,155,255,77
window frame,242,186,113,255,78
cosmetics,127,0,0,255,79
shower rail,191,148,1,255,80
trashcan,134,147,65,255,81
plant,175,254,104,255,82
shower cabin,84,183,23,255,83
casket,12,87,183,255,84
statue,1,20,178,255,85
basket of something,185,224,0,255,86
doll,255,255,127,255,87
toy,44,252,176,255,88
clutter,62,186,252,255,89
free,3,253,46,255,90
free,41,208,156,255,91
free,138,94,126,255,92
free,32,31,231,255,93
free,192,120,193,255,94
free,231,66,87,255,95
free,105,0,153,255,96
free,251,216,190,255,97
free,228,45,198,255,98
free,0,0,255,255,99
free,67,234,247,255,100
free,156,4,152,255,101
free,253,219,57,255,102
free,183,148,126,255,103
free,246,154,179,255,104
free,127,127,255,255,105
free,0,255,255,255,106
free,225,189,224,255,107
free,47,253,125,255,108
free,47,0,127,255,109
free,92,207,58,255,110
free,173,253,235,255,111
free,251,78,170,255,112
free,164,41,91,255,113
free,0,127,0,255,114
free,65,43,54,255,115
free,196,100,129,255,116
free,143,157,184,255,117
free,234,190,2,255,118
free,0,234,191,255,119
free,191,254,179,255,120
free,149,1,215,255,121
free,67,231,11,255,122
free,131,195,0,255,123
free,188,121,62,255,124
free,70,143,13,255,125
free,106,168,230,255,126
free,231,106,88,255,127
free,255,255,0,255,128
free,121,54,15,255,129
free,127,255,0,255,130
free,248,157,252,255,131
free,63,7,14,255,132
free,146,63,249,255,133
free,185,8,32,255,134
free,247,0,223,255,135
free,234,252,199,255,136
free,91,29,248,255,137
free,122,0,89,255,138
free,41,99,220,255,139
free,28,132,140,255,140
free,127,209,111,255,141
free,110,54,79,255,142
free,63,68,107,255,143
free,214,0,171,255,144
free,71,9,82,255,145
free,224,187,57,255,146
free,253,20,130,255,147
free,127,127,0,255,148
free,113,132,132,255,149
free,255,0,127,255,150
free,0,255,200,255,151
free,100,150,255,255,152
free,255,200,50,255,153
free,50,255,100,255,154
free,200,100,255,255,155
free,255,100,200,255,156
free,100,200,50,255,157
free,200,50,100,255,158
free,50,100,200,255,159
free,255,150,100,255,160
free,100,255,150,255,161
free,150,100,255,255,162
free,255,100,150,255,163
free,100,150,200,255,164
free,200,255,100,255,165
free,150,200,255,255,166
free,255,200,150,255,167
free,200,150,100,255,168
free,100,200,150,255,169
free,220,120,180,255,170
free,180,220,120,255,171
free,120,180,220,255,172
free,240,100,80,255,173
free,80,240,100,255,174
free,100,80,240,255,175
free,250,180,120,255,176
free,120,250,180,255,177
free,180,120,250,255,178
free,200,80,120,255,179
free,120,200,80,255,180
free,80,120,200,255,181
free,230,140,90,255,182
free,90,230,140,255,183
free,140,90,230,255,184
free,210,160,110,255,185
free,110,210,160,255,186
free,160,110,210,255,187
free,240,160,100,255,188
free,100,240,160,255,189
free,160,100,240,255,190
free,200,120,160,255,191
free,160,200,120,255,192
free,120,160,200,255,193
free,235,150,75,255,194
free,75,235,150,255,195
free,150,75,235,255,196
free,210,100,140,255,197
free,140,210,100,255,198
free,100,140,210,255,199
free,245,170,95,255,200
free,95,245,170,255,201
free,170,95,245,255,202
free,220,110,165,255,203
free,165,220,110,255,204
free,110,165,220,255,205
free,250,190,130,255,206
free,130,250,190,255,207
free,190,130,250,255,208
free,230,125,175,255,209
free,175,230,125,255,210
free,125,175,230,255,211
free,215,135,85,255,212
free,85,215,135,255,213
free,135,85,215,255,214
free,240,145,105,255,215
free,105,240,145,255,216
free,145,105,240,255,217
free,225,155,95,255,218
free,95,225,155,255,219
free,155,95,225,255,220
free,210,170,120,255,221
free,120,210,170,255,222
free,170,120,210,255,223
free,235,105,155,255,224
free,155,235,105,255,225
free,105,155,235,255,226
free,220,145,85,255,227
free,85,220,145,255,228
free,145,85,220,255,229
free,245,125,165,255,230
free,165,245,125,255,231
free,125,165,245,255,232
free,215,175,105,255,233
free,105,215,175,255,234
free,175,105,215,255,235
free,230,90,140,255,236
free,140,230,90,255,237
free,90,140,230,255,238
free,240,135,195,255,239
free,195,240,135,255,240
free,135,195,240,255,241
free,225,165,75,255,242
free,75,225,165,255,243
free,165,75,225,255,244
free,210,115,155,255,245
free,155,210,115,255,246
free,115,155,210,255,247
free,235,180,110,255,248
free,110,235,180,255,249
free,180,110,235,255,250
free,220,95,165,255,251
free,165,220,95,255,252
free,95,165,220,255,253
free,245,100,175,255,254
free,175,245,100,255,255
free,100,175,245,255,256
free,215,150,130,255,257
free,130,215,150,255,258
free,150,130,215,255,259
free,230,120,185,255,260
free,185,230,120,255,261
free,120,185,230,255,262
free,240,160,90,255,263
free,90,240,160,255,264
free,160,90,240,255,265
free,225,105,150,255,266
free,150,225,105,255,267
free,105,150,225,255,268
free,235,175,95,255,269
free,95,235,175,255,270
free,175,95,235,255,271
free,215,140,170,255,272
free,170,215,140,255,273
free,140,170,215,255,274
free,245,115,140,255,275
free,140,245,115,255,276
free,115,140,245,255,277
free,220,165,105,255,278
free,105,220,165,255,279
free,165,105,220,255,280
free,230,75,165,255,281
free,165,230,75,255,282
free,75,165,230,255,283
free,240,190,75,255,284
free,75,240,190,255,285
free,190,75,240,255,286
free,225,140,175,255,287
free,175,225,140,255,288
free,140,175,225,255,289
free,235,95,120,255,290
free,120,235,95,255,291
free,95,120,235,255,292
free,215,125,145,255,293
free,145,215,125,255,294
free,125,145,215,255,295
free,245,145,115,255,296
free,115,245,145,255,297
free,145,115,245,255,298
free,220,185,140,255,299
free,140,220,185,255,300
free,185,140,220,255,301
free,230,110,175,255,302
free,175,230,110,255,303
free,110,175,230,255,304
free,240,100,195,255,305
free,195,240,100,255,306
free,100,195,240,255,307
free,225,160,85,255,308
free,85,225,160,255,309
free,160,85,225,255,310
free,235,130,155,255,311
free,155,235,130,255,312
free,130,155,235,255,313
free,215,170,115,255,314
free,115,215,170,255,315
free,170,115,215,255,316
free,245,165,80,255,317
free,80,245,165,255,318
free,165,80,245,255,319
free,220,75,150,255,320
free,150,220,75,255,321
free,75,150,220,255,322
free,230,145,195,255,323
free,195,230,145,255,324
free,145,195,230,255,325
free,240,120,160,255,326
free,160,240,120,255,327
free,120,160,240,255,328
free,225,195,100,255,329
free,100,225,195,255,330
free,195,100,225,255,331
free,235,160,70,255,332
free,70,235,160,255,333
free,160,70,235,255,334
free,215,100,130,255,335
free,130,215,100,255,336
free,100,130,215,255,337
free,245,175,105,255,338
free,105,245,175,255,339
free,175,105,245,255,340
free,220,135,175,255,341
free,175,220,135,255,342
free,135,175,220,255,343
free,230,165,120,255,344
free,120,230,165,255,345
free,165,120,230,255,346
free,240,145,190,255,347
free,190,240,145,255,348
free,145,190,240,255,349
free,225,80,140,255,350
free,140,225,80,255,351
free,80,140,225,255,352
free,235,110,165,255,353
free,165,235,110,255,354
free,110,165,235,255,355
free,215,180,100,255,356
free,100,215,180,255,357
free,180,100,215,255,358
free,245,90,170,255,359
free,170,245,90,255,360
free,90,170,245,255,361
free,220,155,125,255,362
free,125,220,155,255,363
free,155,125,220,255,364
free,230,140,75,255,365
free,75,230,140,255,366
free,140,75,230,255,367
free,240,170,110,255,368
free,110,240,170,255,369
free,170,110,240,255,370
free,225,120,155,255,371
free,155,225,120,255,372
free,120,155,225,255,373
free,235,185,90,255,374
free,90,235,185,255,375
free,185,90,235,255,376
free,215,95,160,255,377
free,160,215,95,255,378
free,95,160,215,255,379
free,245,130,145,255,380
free,145,245,130,255,381
free,130,145,245,255,382
free,220,165,145,255,383
free,145,220,165,255,384
free,165,145,220,255,385
free,230,100,185,255,386
free,185,230,100,255,387
free,100,185,230,255,388
free,240,155,75,255,389
free,75,240,155,255,390
free,155,75,240,255,391
free,225,145,110,255,392
free,110,225,145,255,393
free,145,110,225,255,394
free,235,120,140,255,395
free,140,235,120,255,396
free,120,140,235,255,397
free,215,160,180,255,398
free,180,215,160,255,399
free,160,180,215,255,400
free,245,105,155,255,401
free,155,245,105,255,402
free,105,155,245,255,403
free,220,125,95,255,404
free,95,220,125,255,405
free,125,95,220,255,406
free,230,175,130,255,407
free,130,230,175,255,408
free,175,130,230,255,409
free,240,135,165,255,410
free,165,240,135,255,411
free,135,165,240,255,412
free,225,160,145,255,413
free,145,225,160,255,414
free,160,145,225,255,415
free,235,95,105,255,416
free,105,235,95,255,417
free,95,105,235,255,418
free,215,145,115,255,419
free,115,215,145,255,420
free,145,115,215,255,421
free,245,160,130,255,422
free,130,245,160,255,423
free,160,130,245,255,424
free,220,100,160,255,425
free,160,220,100,255,426
free,100,160,220,255,427
free,230,155,75,255,428
free,75,230,155,255,429
free,155,75,230,255,430
free,240,125,105,255,431
free,105,240,125,255,432
free,125,105,240,255,433
free,225,130,165,255,434
free,165,225,130,255,435
free,130,165,225,255,436
free,235,170,120,255,437
free,120,235,170,255,438
free,170,120,235,255,439
free,215,110,145,255,440
free,145,215,110,255,441
free,110,145,215,255,442
free,245,140,155,255,443
free,155,245,140,255,444
free,140,155,245,255,445
free,220,145,110,255,446
free,110,220,145,255,447
free,145,110,220,255,448
free,230,85,160,255,449
free,160,230,85,255,450
free,85,160,230,255,451
free,240,100,125,255,452
free,125,240,100,255,453
free,100,125,240,255,454
free,225,175,140,255,455
free,140,225,175,255,456
free,175,140,225,255,457
free,235,135,105,255,458
free,105,235,135,255,459
free,135,105,235,255,460
free,215,165,95,255,461
free,95,215,165,255,462
free,165,95,215,255,463
free,245,175,145,255,464
free,145,245,175,255,465
free,175,145,245,255,466
free,220,120,140,255,467
free,140,220,120,255,468
free,120,140,220,255,469
free,230,110,125,255,470
free,125,230,110,255,471
free,110,125,230,255,472
free,240,165,95,255,473
free,95,240,165,255,474
free,165,95,240,255,475
free,225,105,175,255,476
free,175,225,105,255,477
free,105,175,225,255,478
free,235,145,165,255,479
free,165,235,145,255,480
free,145,165,235,255,481
free,215,125,155,255,482
free,155,215,125,255,483
free,125,155,215,255,484
free,245,155,115,255,485
free,115,245,155,255,486
free,155,115,245,255,487
free,220,160,130,255,488
free,130,220,160,255,489
free,160,130,220,255,490
free,230,165,100,255,491
free,100,230,165,255,492
free,165,100,230,255,493
free,240,110,140,255,494
free,140,240,110,255,495
free,110,140,240,255,496
free,225,145,120,255,497
free,120,225,145,255,498
free,145,120,225,255,499
free,235,155,130,255,500
free,130,235,155,255,501
free,155,130,235,255,502
free,215,135,165,255,503
free,165,215,135,255,504
free,135,165,215,255,505
free,245,125,170,255,506
free,170,245,125,255,507
free,125,170,245,255,508
free,220,105,155,255,509
free,155,220,105,255,510
free,105,155,220,255,511
free,230,125,95,255,512
free,95,230,125,255,513
free,125,95,230,255,514
free,240,145,160,255,515
free,160,240,145,255,516
free,145,160,240,255,517
free,225,155,145,255,518
free,145,225,155,255,519
free,155,145,225,255,520
free,235,100,140,255,521
free,140,235,100,255,522
free,100,140,235,255,523
free,215,155,125,255,524
free,125,215,155,255,525
free,155,125,215,255,526
free,245,165,135,255,527
free,135,245,165,255,528
free,165,135,245,255,529
free,220,130,165,255,530
free,165,220,130,255,531
free,130,165,220,255,532
free,230,145,110,255,533
free,110,230,145,255,534
free,145,110,230,255,535
free,240,155,175,255,536
free,175,240,155,255,537
free,155,175,240,255,538
free,225,115,160,255,539
free,160,225,115,255,540
free,115,160,225,255,541
free,235,165,145,255,542
free,145,235,165,255,543
free,165,145,235,255,544
free,215,145,135,255,545
free,135,215,145,255,546
free,145,135,215,255,547
free,245,135,120,255,548
free,120,245,135,255,549
free,135,120,245,255,550
free,220,175,115,255,551
free,115,220,175,255,552
free,175,115,220,255,553
free,230,95,155,255,554
free,155,230,95,255,555
free,95,155,230,255,556
free,240,115,150,255,557
free,150,240,115,255,558
free,115,150,240,255,559
free,225,135,175,255,560
free,175,225,135,255,561
free,135,175,225,255,562
free,235,175,110,255,563
free,110,235,175,255,564
free,175,110,235,255,565
free,215,105,170,255,566
free,170,215,105,255,567
free,105,170,215,255,568
free,245,145,160,255,569
free,160,245,145,255,570
free,145,160,245,255,571
free,220,155,100,255,572
free,100,220,155,255,573
free,155,100,220,255,574
free,230,120,140,255,575
free,140,230,120,255,576
free,120,140,230,255,577
free,240,165,125,255,578
free,125,240,165,255,579
free,165,125,240,255,580
free,225,125,155,255,581
free,155,225,125,255,582
free,125,155,225,255,583
free,235,135,150,255,584
free,150,235,135,255,585
free,135,150,235,255,586
free,215,175,140,255,587
free,140,215,175,255,588
free,175,140,215,255,589
free,245,100,165,255,590
free,165,245,100,255,591
free,100,165,245,255,592
free,220,140,125,255,593
free,125,220,140,255,594
free,140,125,220,255,595
free,230,160,105,255,596
free,105,230,160,255,597
free,160,105,230,255,598
free,240,130,145,255,599
free,145,240,130,255,600
free,130,145,240,255,601
free,225,165,135,255,602
free,135,225,165,255,603
free,165,135,225,255,604
free,235,110,160,255,605
free,160,235,110,255,606
free,110,160,235,255,607
free,215,130,150,255,608
free,150,215,130,255,609
free,130,150,215,255,610
free,245,155,130,255,611
free,130,245,155,255,612
free,155,130,245,255,613
free,220,115,160,255,614
free,160,220,115,255,615
free,115,160,220,255,616
free,230,135,165,255,617
free,165,230,135,255,618
free,135,165,230,255,619
free,240,140,105,255,620
free,105,240,140,255,621
free,140,105,240,255,622
free,225,150,130,255,623
free,130,225,150,255,624
free,150,130,225,255,625
free,235,145,175,255,626
free,175,235,145,255,627
free,145,175,235,255,628
free,215,160,105,255,629
free,105,215,160,255,630
free,160,105,215,255,631
free,245,120,155,255,632
free,155,245,120,255,633
free,120,155,245,255,634
free,220,145,140,255,635
free,140,220,145,255,636
free,145,140,220,255,637
free,230,175,120,255,638
free,120,230,175,255,639
free,175,120,230,255,640
free,240,100,160,255,641
free,160,240,100,255,642
free,100,160,240,255,643
